name,composers,premiere_date,premiere_place,Language,year,librettist,summary
Zuzana Vojířová,,,,,1958,,
Wuthering Heights,Carlisle Floyd,"July 16, 1958",Santa Fe Opera,English,1958,Floyd," is an opera in a prologue and three acts with music and a  by . The work is adapted from 's 1847 . The opera premiered at the  on July 16, 1958 in a production directed by . A revised version of the work was performed at the  in 1959 with a cast that notably included , , and .
 Georgia Jarman  Kelly Markgraf  ; ,  Joseph Mechavich Reference Recordings: FR-721

"
Vanessa,Samuel Barber,"January 15, 1958","Metropolitan Opera, New York",English,1958,Gian Carlo Menotti," is an American  in three (originally four) acts by , opus 32, with an original English  by .  It was composed in 1956–1957 and was first performed at the  in New York City on January 15, 1958 under the baton of  in a production designed by  and directed by Menotti.  Barber revised the opera in 1964, reducing the four acts to the three-act version most commonly performed today.
For the Met premiere,  was contracted to sing the title role. However, she cancelled six weeks before the opening night and  replaced her, making the role her own for a long time.  In the role of Erika, Vanessa's niece, was , then a young .  sang the lover Anatol, mezzo  sang the Baroness, Vanessa's mother, while bass  sang the old doctor. It was the first American opera in 11 years to be seen at the company, and only the 20th in 73 years.
The premiere ""was an unqualified success with the audience and with many of the critics as well although they were somewhat qualified in their judgment. Of the final quintet, however,  critic  said it is '...a full-blown set-piece that packs an emotional charge and that would be a credit to any composer anywhere today.' "".  Other reports substantiate this and it won Barber the . The original production was shown at the  in the same year, which was the first performance in Europe. In Europe, however, it met with a chillier reception.
The Met's Cecil Beaton sets were destroyed by fire in 1973. After a long period of few revivals, one being in 1988 by the , the  (in a co-production with the ) revived the work in 1995 using the 1964 revised and more compact version. Elizabeth Holleque sang the title role.
 sang the title role in three revivals, the first of which was presented by the  in 2001, the second in 2002 at the Washington National Opera and the third in 2004 (at the time, described as her farewell to the opera stage), at the .
In all three productions, Rosalind Elias, who sang Erika in the 1958 premiere, took on the role of the Baroness. For its 50th anniversary revival by the  in November 2007, she was once more featured in that role, with  taking the title role.
Highlights from the score include the soprano scena and   (recorded by  and ), the mezzo aria  (recorded by ), and the last-act quintet, .
In many print media it says that the libretto of Gian Carlo Menotti is based on a work of  (pen name of Karen Blixen), described variously as a ""short story"" or ""novella"". However, the story is not found in any of Isak Dinesen's works. There is evidence of Samuel Barber's having read Blixen's , and the mistaking of the proper source may have come from a proclamation by Menotti and Barber, that the opera reproduced the ""atmosphere"" of Isak Dinesen's  ""Menotti recalled, 'I was writing a libretto for Sam, and Sam is essentially a romantic personality...'"" Menotti was ""inspired by Isak Dinesen's stories, in particular her  He said, 'I felt that the atmosphere... would make a wonderful opera.'""
Blixen was present at the premiere of the opera, but part way through the performance she pleaded illness and left the theater. Her secretary wrote that Barber was ""upset"" by Blixen's premature departure from the opera.  Blixen made no public comment.
In her secluded country house, Vanessa awaits the arrival of Anatol, a man who had been Vanessa's lover twenty years before. After he left, she covered up all the mirrors of the house until his expected return, unwilling to face looking at her aging self. She lives alone with her mother, the Baroness, who has refused to speak to her for twenty years, and with her niece, Erika.  Thinking that the man who arrives and who is called Anatol is her former lover, Vanessa refuses to reveal her face to him until he says he still loves her. He says that he does, but she does not recognize him. It is the young Anatol who has come, his father now dead.  Upset, Vanessa leaves the room, and Erika and Anatol now enjoy the meal and wine meant for Vanessa and his father.
Erika tells the Baroness that the young Anatol seduced her on his first night in the house and the Baroness scolds her.  Erika has fallen in love with Anatol, but resists his marriage proposal because she doubts his sincerity.  Not knowing that Erika loves the young man and in her delusionary state of mind, Vanessa tells her niece that she still loves him, despite Erika's warning that he is not her former lover.  The Baroness tells Erika to fight for Anatol.  She is unsure if he is worthy of her efforts. Again, he proposes, and, again, she declines.
The doctor is drunk at a New Year's Eve ball.  The Baroness and Erika refuse to come to the party to hear his announcement of Anatol and Vanessa's engagement. The doctor goes to fetch them, while Vanessa tells Anatol her fears.  Finally Erika, who, unbeknownst to everyone else, is pregnant, comes downstairs, but faints, clutching her stomach, while the doctor is making the announcement.  She recovers and flees into the freezing weather in order to cause herself to miscarry.  (In the original she says, ""His child!  It must not be born!"" which makes clear her motivation for going out into the cold, but this line is dropped in the revision.)
Vanessa is happy when Erika is found alive, and she asks Anatol why Erika is acting so strangely and whether he thinks that she loves him.  He explains that she does not.  Continuing in her delusionary state, Vanessa begs Anatol to take her away.  Meanwhile, Erika confesses to the Baroness that she had been pregnant, but is no longer. The Baroness, horrified, refuses to speak to her.
As Vanessa and Anatol finalize their preparations to move to , Vanessa asks Erika why she ran away.  The niece replies that she was just being foolish, and Vanessa says she may never come back to the house where she has been living. After the couple leaves, Erika covers the mirrors and closes up the house, just as Vanessa had done before her. She says that it is now her turn to wait.


"
The Scarf,,,,,1958,,
Mrika,,,,,1958,,
The Tale of Huai Yin,,,,,1958,,
"Moscow, Cheryomushki",,,,,1958,,
Maria Golovin,Gian Carlo Menotti,"August 20, 1958","Expo '58, Brussels",English,1958,Menotti," is an   in three acts by . It is through-composed and centers on a romantic encounter between a blind recluse named Donato and the title character, a married woman living in a European country a few years after a war. The work was commissioned by  of the .
Its first performance was at the International Exposition Pavilion Theater at  in  on 20 August 1958. Later that year,  and the  Opera mounted a  billed as a ""musical drama."" It was staged by Menotti and ran for five performances at the . The cast included , , , , and , who won the 1959  for his performance.  is not part of the usual operatic repertory and rarely is performed today, although The Paley Center for Media (Museum of Television & Radio) in New York  scheduled a screening of the 1959 NBC Opera production of the work, starring Franca Duval, Richard Cross, and Patricia Neway, for May 21, 2011 at 2 p.m. followed by a discussion with Richard Cross.
 described it as ""something of a disappointment"" and added, ""the impact is marred by banalities of speech ... and the hero's unsympathetic character."" Of the music it said, ""At its worst, the  score is not only too sweet but too facile ... At its best, the score is hauntingly tender and compelling."" There were also some favourable reviews: ""This is a love story that should touch the hearts of sentimentalists,"" wrote critic Howard Taubman in the  following the world premiere in Brussels. ""The find of the production is Richard Cross, who sings and plays the blind man with force and compassion ... Franca Duval is personally attractive, musically intelligent and touchingly vulnerable as Maria Golovin.""
A  was released by  and reissued on CD by  Historical in 2011.
As well as the first performance at the International Exposition Pavilion Theater at  in Brussels on 20 August 1958, it was performed at the London Coliseum in 1976, with Gian Carlo Menotti conducting,  playing the title role, with her real-life son James playing Trottolo Golovin. 
"
The Good Soldier Schweik,,,,,1958,,
Gallantry,Douglas Moore,"March 19, 1958","Brander Matthews Theater, Colorado",English,1958,Arnold Sundgaard," is a one-act  by composer . The work is a parody of , complete with sung commercial interruptions. The work uses an English-language  by . 
The opera premiered in a double bill with 's  on March 19, 1958, in New York City at the former Brander Matthews Theater on 117th Street, located between Amsterdam Avenue and Morningside Drive. It was produced by Columbia University School of Music with a student cast. It has been staged over more than forty years by other university opera programs in the United States and Canada.
The first professional opera company to stage  was the , which presented the work in a double bill with 's  in January 1962.  was adapted by Moore for television and was broadcast by  on August 30, 1962, in a program which also included a presentation of 's ballet . The production was produced by Pamela Illott, directed by Martin Carr, hosted by , and featured the . It starred Laurel Hurley as the Nurse,  as the Surgeon,  as the Patient, and  as the Announcer. The opera was staged at the 1967 Florida International Music Festival in Daytona Beach with  performers Carol Courtman, , and . The opera was subsequently staged by the  (1977) and the  (1986). Since the late 20th century, the opera has been performed by several  ensembles, with productions being staged by the  (1988),  (1990), the  (1991), and  (2000).
The work has been staged for more than 40 years by numerous university opera theatre programs in the United States and Canada, including  (1958, 1974, and 1994),  (1968),  (1969), the  (1978), the  (1988),  (1989),  (1990),  (1992), the  (1995),  (1999), the  (2003) and  (2019) among others. The  toured the opera to the Netherlands in 1968.
"
The Gadfly,,,,,1958,,
The Transposed Heads,Peggy Glanville-Hicks,3 April 1954,"Columbia Auditorium, Louisville, Kentucky",English,1954,Peggy Glanville-Hicks," is an opera in one act with six scenes composed by . She also wrote the libretto which was adapted from 's English translation of Thomas Mann's novella, . It was a commission from the  and premiered on 3 April 1954 at the Columbia Auditorium in .
Set in India, the story centers on the love triangle between Sita, her husband Shridaman, and Shridaman's friend Nanda. During a fraught episode in a temple to , each of the male protagonists beheads himself. Kali brings them back to life but with the heads on the wrong bodies. Living with the mix-up ultimately results in Shridaman and Nanda committing suicide again and Sita throwing herself on their joint funeral pyre.
 was Glanville-Hicks's first attempt at a full length opera. It was the result of a $4000 commission from the  with extra funding from the Rockefeller Foundation. She wrote the libretto herself, by her own admission basing it virtually verbatim on 's English translation of Thomas Mann's 1940 novella, . However, she shortened it considerably and eliminated some elements of the plot. Despite the ostensibly tragic nature of Mann's story, he told it in a tongue-in-cheek manner. Glanville-Hicks retained some of that element by making the guru Kamadamana and the goddess Kali comic figures and giving them speaking rather than singing roles.
Glanville-Hicks wrote in the programme notes for the premiere:
The score incorporates music from her 1935  and from Indian folk sources. According to Glanville-Hicks the use of Indian musical motifs did not require a significant change in her usual mode of composition:
She composed the score over a period of four months, completing it in September 1953 in , Jamaica. While she was looking for a permanent summer house there, 's father  let her use his son's yacht  for her composing. During that time Glanville-Hicks and Theodore Flynn became lovers, and she dedicated  to him. In the course of the opera's development, she had vacillated between structures of one, two, or three acts. She eventually settled on one act with six scenes. The total running time of the opera without intermissions is approximately 75 minutes.
 premiered in a matinee performance at the Columbia Auditorium in Louisville, Kentucky on 3 April 1954 conducted by . It had a run of three performances ending on 24 April. The opera was also recorded by the Louisville Philharmonic Society and released on an  which was subsequently played on radio stations across the United States. Its New York premiere came in 1958 in a production conducted by  at the  where it ran for two performances under the auspices of the Contemporary Music Society. In his review of the New York premiere  wrote:
In 1970,  became the first major work of Glanville-Hicks to be premiered in her native Australia when it was performed by the  opera. It was staged again in 1986 at the Australian Festival when it was presented in a double-bill with her 1959 one-act opera .
Setting: Rural India in mythical times

Shridaman is a learned merchant with a noble face but a thin, weedy body. Nanda is a blacksmith with a strong and beautiful body but a rather ordinary intellect. Despite these differences, they are both friends. While out in the forest, they observe the beautiful Sita taking a ritual bath. Both are immediately smitten.

Several days later, Nanda finds Shridaman literally sick with love for Sita and despairing that she will ever marry him. Nanda volunteers to woo her on Shridaman's behalf and is successful.

Shridaman and Sita's wedding is celebrated in her village with much singing and dancing.

Shridaman, Sita, and Nanda journey home together after the wedding. Shridaman has noticed that Sita and Nanda have a strong attraction to each other. As they are passing through the forest, they come upon a temple to the goddess Kali. Shridaman goes inside to pray. In a fit of religious fervor he beheads himself to free Sita to marry Nanda. Nanda then enters the temple, and when he finds Shridaman's corpse, he realizes the motive for his friend's suicide. Overcome with remorse, Nanda likewise beheads himself.
Sita enters the temple and on discovering what has happened is about to hang herself. Kali appears. She tells Sita to place the heads back on the bodies and she will bring them both back to life. However, in her grief and agitation Sita places Nanda's head on Shridaman's body and vice versa. After Kali works her magic, each man now finds himself with his original head and identity but a new body.

At first the men profess to be happy with the new arrangement. Nevertheless, they decide to consult the guru Kamadamana as to which of the two men is actually her husband. Kamadamana determines that it is the one with the head of Shridaman. In his disappointment, Nanda becomes a religious recluse.

Several years have passed. Sita is pining for Nanda and seeks him out in his hermitage. Shridaman follows her there and confronts them. He proposes the only solution for a situation where a woman is simultaneously in love with one man's body and another man's head. They must ""merge their separate essences in the universal whole."" The two men commit suicide by simultaneously stabbing each other in the heart. Sita throws herself on the men's joint funeral pyre.
"
Assassinio nella cattedrale,,1 March 1958,"La Scala, Milan",Italian,1958,Ildebrando Pizzetti," () is an  in two acts and an  by the Italian composer . The  is an adaptation by the composer of an Italian translation of 's 1935 play . The opera was first performed at , Milan, on 1 March 1958. The opera was performed for the first time in Canada the following year at the .

"
The Diary of a Madman,,,,,1958,,
The Turn of the Screw,Benjamin Britten,14 September 1954,"Teatro La Fenice, Venice",English,1954,Myfanwy Piper," is a 20th-century English  composed by  with a libretto by , ""wife of the artist , who had been a friend of the composer since 1935 and had provided designs for several of the operas"". The libretto is based on the 1898 novella  by . The opera was commissioned by the  and given its world premiere on 14 September 1954, at the , Venice. The original recording was made during that year, with the composer conducting.
Described as one of the most dramatically appealing English operas, the opera in two acts has a prologue and sixteen scenes, each preceded by a variation on the  'Screw' theme. Typically of Britten, the music mixes  and , with Britten's recurrent use of a twelve-tone figure being perhaps a nod to the approach of . Thematically, the play gives a central role to a line borrowed from ' poem : ""The ceremony of innocence is drowned.""
The opera was given its British premiere on 6 October 1954 by the  in London; the North American premiere on 23 August 1957 at Canada's  with the ; the US premiere followed on 19 March 1958 at the . Since then there have been regular performances around the world.
In 2003,  presented the work throughout England and three years later  Touring Opera toured the UK with their new production of the work before reviving it in 2007 at their summer festival, . 's staged 's production in 2005 which featured the solo professional operatic debut of  as Flora.
 performed the  Touring Opera production of the work in 2011 under music director .  reframed the opera in their 2011 production, the story being told from the point of the view of the Governess as a patient in an asylum. It is left unclear as to whether the story stems completely from her mind or whether she arrived there after her experiences in the Bly house. Opera Moderne produced the work in 2012 at  in New York under the stage direction of .
 received positive reviews of their presentation of the work in six performances in summer 2014.
For a limited run in 2018,  presented a co-production with the , directed by  and conducted by Toby Purser.
On 6 June 2021, a version by OperaGlass Works was broadcast by BBC4. The new staging of the opera, at , London, had been scheduled for a run in March 2020, but this was prevented by the lockdown. Instead, the performance was reworked as a film, shot on location at the Victorian music hall. The whole space of the venue, not just the stage, was used to tell the story.
A singer known as Prologue tells about a young  (who remains unnamed throughout the opera) he once knew who cared for two children at Bly House. She had been hired by their uncle and guardian, who lived in London and was too busy to care for them. After hiring her, he laid three stipulations on the Governess: Never to write to him about the children, never to inquire about the history of Bly House, and never to abandon the children.
The Governess is apprehensive about her new position. When she arrives at Bly House, the housekeeper, Mrs. Grose, and the children greet her. When the Governess sees Miles, the little boy, their eyes lock and the Governess feels as if she has a strange connection with Miles. Mrs. Grose interrupts their reverie and leads the Governess off to explore the beautiful land around the house. The Governess sings that all her fears are now gone. A letter from Miles' school arrives, advising the Governess that the boy has been  but giving no reason. The Governess is sure that Miles, like his sister Flora, is too innocent to have done anything bad enough for expulsion. Encouraged by Mrs. Grose, she decides to ignore the letter.
The Governess sings about her wonderful position at the house and the beautiful children she has in her care. But she is troubled by footsteps she has heard outside her door and cries in the night. Suddenly, she spots a pale-faced man perched on a tower of the house. When the man disappears, she becomes frightened and wonders if she has seen a ghost. Her mind is put at ease by the playing of the children, and their singing of the  """". Later she sees the same man looking in through a window. She decides to ask Mrs. Grose about the man. Based on her description the housekeeper tells the Governess about Peter Quint, the former valet at Bly House. Mrs. Grose implies that Quint may have been a  who preyed on Miles, and that he had a sexual relationship with Miss Jessel, the young and beautiful previous governess. Mrs. Grose hints that Miss Jessel, too, had a relationship to the children that seemed inappropriately close. The housekeeper did nothing, since Quint intimidated her, and she explains ""it wasn't my place"". Miss Jessel left the house and eventually died. Shortly thereafter, Quint died under mysterious circumstances on an icy road near Bly House. The Governess rededicates herself to protecting the children. The next morning, the Governess is teaching Miles , when he suddenly enters into a trance-like state and sings a song, ""Malo"".
Later that day, the Governess sits by the side of a lake with Flora. Flora recites the names of the seas of the world, finishing with the . Flora's comparison of the Dead Sea with Bly House unsettles the Governess. As Flora plays on the shore with her doll, the Governess suddenly sees a strange woman across the lake who seems to be watching Flora. The horrified Governess realises that the woman is a ghost — the ghost of Miss Jessel, who has returned to claim Flora. The Governess hurries Flora home to safety.
That night, Miles and Flora slip out into the woods to meet Miss Jessel and Peter Quint. The children fantasize about a world where dreams come true. The Governess and Mrs. Grose arrive as the children are about to be , and the spirits depart. Miles sings a haunting song about how he has been a bad boy.
The ghosts of Peter Quint and Miss Jessel reappear. They argue about who harmed whom first when they were alive, and accuse one another of not acting quickly enough to possess the children. In her room, the Governess worries about the evil she feels in the house.
The next morning, the family goes to church. The children sing a song which sounds similar to a psalm. Mrs. Grose declares that nothing can be wrong if the children are as sweet as this. The Governess tells her of Miles' unearthly day-dream song and Flora's bizarre behaviour. Alarmed, Mrs. Grose advises the Governess to write to their employer in London. At first, the Governess declines, recalling her employer's admonitions before she took the job. But when Miles mentions the ghosts of Quint and Jessel, the Governess realises things are much more dire than they seem. She resolves to leave Bly House.
After church, the family returns home. The Governess goes into the children's schoolroom where she sees the ghost of Miss Jessel seated at the teacher's desk. The spectre bemoans her fate, and sings about how she suffers in the afterlife. The Governess confronts the spirit, which vanishes. Believing the ghosts may not yet have the upper hand, the Governess changes her mind, deciding to stay at Bly House after all. Instead, she writes to the children's uncle, informing him that she must speak with him.
That night, the Governess tells Miles that she has written to his uncle about the spirits haunting Bly House. She departs. The voice of Quint calls out to Miles, terrifying him. The lights go out, and the ghost hovers over the terrified child. Quint tells Miles to steal the letter. The boy goes to the schoolroom, finds the letter, and takes it back to his room.
The next morning, Miles plays the piano for the Governess and Mrs. Grose. While the Governess is distracted by his performance, Flora slips off to go to the lake. When the two women realise Flora is gone, they search for her. Finding the girl at the lake, the Governess sees the spectre of Miss Jessel nearby—but Mrs. Grose sees nothing. The Governess tries to force Flora to admit that the apparition is there, but Flora denies seeing anything and hurls  at the Governess. Mrs. Grose, convinced the Governess has gone too far, angrily takes Flora home. The Governess feels betrayed by Mrs. Grose.
That night, Flora begins to rant and rave about committing unspeakable horrors. Mrs. Grose agrees to take Flora away from the house. The housekeeper tells the Governess that the letter was never mailed and that Miles must have taken it. The Governess confronts Miles alone. As she questions him, the ghost of Quint pressures Miles not to betray him. Hysterical, Miles confesses that he took the letter. The Governess demands to know who put Miles up to it. Miles blurts out Quint's name. At the mention of his name, Quint's ghost vanishes and Miles falls dead on the floor. A weeping Governess cradles the dead child in her arms, singing aloud of her grief and wondering if she did the right thing after all.
Britten's  'Screw' theme divides into three equivalent , each a segment of the : D–A–E–B, F–C–D–G
, B–F–C–G, which are played in the sequence of A–D–B–E, C–F–D–G, F–B–G–C.
Additionally, two  are contained in the row:
The theme as it first appears in the piano, 9 measures before rehearsal number 1:
For the children's music, Britten drew words and melody from a number of traditional British nursery rhymes, including  and . Of particular note is Miles' song ""Malo."" The lyrics to this are a  for beginning  students. The word  can be either a form of the adjective for ""bad"", or the first-person singular of the verb , ""to prefer,"" which has an irregular conjugation and is a common stumbling block for students.  could also be a form of the scientific name for the apple species. The rhyme Miles sings helps students to keep in mind the three possible meanings for ""malo"" when encountered in a text for translation: adjective of wickedness, verb of preference, or  The Latin words that are used in the lesson scene have been examined in more detail for their paedophilic innuendos. The line ""The ceremony of innocence is drowned"" sung by Quint and Miss Jessel is taken from the poem """" by .



"
Troilus and Cressida,William Walton,3 December 1954,Royal Opera House,English,1954,Christopher Hassall," is the first of the two  by , and was premiered in 1954. The  was by , his own first opera libretto, based on 's poem . Walton dedicated the score to his wife, .
The genesis of the opera dated back to the mid-1940s, after the success of 's first great operatic success, . Walton intended to counter this work with an opera of his own, and Alice Wimborne, Walton's companion at the time, suggested the story of  as a subject. Wimborne had suggested Hassell as librettist, in spite of the fact that he had never written an opera libretto. During the course of composition, Walton and Hassell carried out an extensive correspondence. Walton edited passages by Hassell from the libretto that he deemed inappropriate, or in his own coined term, ""Novelloismo"". The opera took seven years to complete.
The opera was first produced at the , London, on 3 December 1954 conducted by , and directed by . It was only a moderate success, and various factors were proposed to assess blame for the lacklustre performance, including the conductor not having thoroughly learned the score in advance.
The US première took place on 7 October 1955 at , conducted by , with Walton in attendance. The cast included  as Troilus,  as Cressida,  as Calkas, Carl Palangi as Antenor,  as Pandarus, and  as Evadne. The New York premiere was presented by  on 21 October 1955.   staged the work in January 1956. Covent Garden revived the piece in 1963, with Sargent again conducting.
The Australian premiere was in March 1964, a highlight of the , with Richard Lewis and  and the  under .
Contemporary criticism of the libretto from , just after the premiere, spoke highly of the libretto's construction, but also noted that the plot began slowly and could have used dramatic tightening in Act I. Other criticisms of the opera have spoken of a lack of sufficient dramatic tension and also Walton resorting to repeated use of past stylistic mannerisms. In his contemporary review of the work, Donald Mitchell noted the overall competence and craft of the opera, and at the same time its overall indebtedness to the style of , summarizing briefly: ""Walton only achieves his success at the expense of his individuality.""
Defenders of the opera have noted that at the time of the premiere, the mid-1950s, music in a more conventionally tonal idiom, such as Walton's, was frowned upon during an era when serialism was more dominant in modern music. Walton himself later commented on the problematic fate of the opera as follows, as quoted in a 2002 retrospective article: ""I was trying to write a romantic opera, . I felt that opera should have tunes to sing. Unfortunately, I don't seem to have ever found the voices that I dreamt I would.""
In 1976, Walton prepared an edition of the opera for  to sing in a Covent Garden production; parts of the score were transposed down to accommodate the lower  of Baker's voice as compared to that of , for whom the role was conceived. Walton also made cuts to the score. A commercial recording was released based on these live Covent Garden performances. For a 1995 production at , a new edition was commissioned, edited by Stuart Hutchinson, which restored the soprano register and restored the music cut by Walton in 1976. For its 2008 production,  commissioned a new performing edition with both the original soprano register and a reduced orchestration.
Calkas announces to the people that the oracle at Delphi has conveyed signs that Greece will prevail in the conflict.  The Trojan people refuse to accept this interpretation of the oracle and are suspicious of Calkas.  Antenor demands proof, but Troilus defends Calkas from the crowd.  Cressida, a priestess in the temple of Pallas Athene and daughter of Calkas, then receives declarations of love from Troilus, whom she has noticed prior, but she retreats into the temple.  Pandarus, uncle to Cressida, has overheard this conversation and offers his services to further Troilus's romantic cause.  Evadne then brings the news that Calkas has defected to the Greek side.  Pandarus then finds Cressida in tears, and tells her that the protection of a prince might be helpful to her.  Troilus comes in with the news that Antenor has been captured, and that he must be retrieved by any means necessary.  They look for Calkas to ask his blessing for such an enterprise, but Calkas is absent, and they go in search of him.  Pandarus then pleads Troilus's case with Cressida, and she becomes sympathetic.  She gives Pandarus her red scarf to give to Troilus as a pledge of her affection, and he invites her to his residence the next evening.  Troilus returns to the temple, aware of Calkas's betrayal, and receives an initial sign of Cressida's approval.

Cressida and Horaste are at a game of chess.  As all are about to go home, a storm is on the horizon.  Pandarus persuades Cressida and her company, including Evadne, to stay the night.  He then secretly sends a messenger to bring Troilus to his house.  As Cressida is about to retire, Troilus enters the house.  He reaffirms his love for her, and she reciprocates.  They leave to a side chamber, and their love scene is depicted in the orchestra.

Troilus and Cressida are about to part.  Pandarus then enters to tell the news that Greek soldiers are on his grounds, and that Troilus must hide.  There is to be a prisoner exchange, with Cressida going to the Greeks and Antenor to be returned to the Trojans.  Diomede enters and demands to see Cressida.  Pandarus denies her presence, but Diomede discovers her behind a curtain.  Her beauty immediately strikes him, and he orders her to prepare for the journey.  After all parties have left, Troilus emerges from hiding, and the two lovers acknowledge fate.  Troilus promises that he will bribe the sentries to be able to meet her, and that she should look for him at one end of the Greek camp.  He returns the red scarf, the token of their love.

Cressida has still not heard anything from Troilus.  Cressida asks Evadne to await a messenger, but Evadne has been secretly destroying Troilus's messages on orders from Calkas.  Evadne urges Cressida to accept Diomede as suitor, but Cressida strongly refuses.  Calkas further rebukes Cressida for continuing to refuse Diomede.  Diomede appears, and at his final proposal after Cressida has still not heard anything from Troilus, she yields to Diomede's entreaties.  Diomede asks of her the red scarf as a token of her pledge.
Troilus and Pandarus then appear with the news that they have arranged for a ransom for Cressida, during a truce in the hostilities.  Cressida says that they are too late, and the Greeks then appear to hail Cressida, betrothed to Diomede.  Diomede bears the red scarf, which Troilus recognizes.  Troilus claims Cressida as his.  Diomede asks Cressida to denounce Troilus, but she cannot.  Troilus then challenges Diomede, and they engage in single combat.  As Troilus is about to overpower Diomede, Calkas stabs Troilus in the back.  Troilus dies in Cressida's arms.  Diomede orders Troilus to be borne back to Troy in honour, Calkas to be returned to Troy in chains, and Cressida to remain with the Greeks as an unprivileged prisoner.  Left alone, Cressida finds Troilus's sword and conceals it.  As the Greeks come to take her away, she pledges her loyalty one last time to Troilus, and stabs herself.
"
The Tender Land,Aaron Copland,"April 1, 1954",New York City Opera,English,1954,Horace Everett," is an  with music by  and libretto by Horace Everett, a pseudonym for .  
The opera tells of a farm family in the  of the United States.  Copland was inspired to write this opera after viewing the Depression-era photographs of  and reading 's .  He wrote the work between 1952 and 1954 for the , with the intention of its being presented on television.  However, the television producers rejected the opera.
Eventually, the work had its premiere on April 1, 1954 at the , with  as the conductor,  as the director, and a cast including the young . It was poorly received, with criticism focused on the weaknesses of the opera's characters and the storyline.  Later analysis by Christopher Patton stated that one underlying cause of the opera's failure at the premiere was the contrast between writing for the intimate medium of television, the originally intended medium of the work, versus the more public and larger-scale setting of an opera house.
Patton has also commented on the role of Erik Johns' interest in the  branch of  in the libretto.
Copland and Johns made revisions to the opera, expanding Act 2 for performances at Tanglewood in August 1954, and making further adjustments for Oberlin College in 1955.  With the composer's agreement, Murry Sidlin re-scored the work with reduced forces - the same scoring as the original 13 instrument version of  - for a production in New Haven in 1987, a staging that ran for more than 50 performances. Sidlin also added two of Copland's  to the central party scene.
On July 28, 1965, the composer conducted a concert version of his work, as part of the French-American Festival, with the .  In the cast were , , , , and .  Three days later,  recorded an abridged version of the opera, again conducted by Copland, at the , with the same cast.  In 2000,  released the historic performance on compact disc.
The setting is the 1930s in the midwestern United States, at the time of the spring harvest and also of high school graduation.
Laurie, the high-school senior daughter of the Moss family, is on the brink of graduating from high school.  At the start of the opera, Beth, Laurie's sister, is dancing by herself, and Ma Moss, Laurie and Beth's mother, is sewing.  The postman, Mr. Splinters, delivers a package with Laurie's graduation dress.  He also brings gossip about a neighbor's daughter being frightened by two strangers to the area.  Ma Moss and Grandpa Moss are worried about this.  Two itinerant workers, Top and Martin, arrive on the scene.  After initial suspicion, Grandpa Moss agrees to hire Top and Martin to help out with the harvest.  Laurie and Martin meet, and feel sympathy for each other.  Top asks for Martin's help later in getting Grandpa Moss drunk at the party that night.
The party to celebrate Laurie's graduation is going on.  Everyone has eaten well, and Laurie acknowledges the guests' well wishes to her.  The dance begins.  Ma Moss thinks that Top and Martin are the two strangers reported to be causing trouble in the area, and tells Mr. Splinters, who goes to tell the local sheriff.  As the dance proceeds, Grandpa Moss becomes more drunk.  Laurie and Martin are now in love, and they kiss at one moment.  Grandpa Moss sees this and becomes angry.  Top tells Martin that they should leave, but the sheriff arrives with the news that the two strangers causing the local disturbances have been caught.  Even though Top and Martin have been proven innocent, Grandpa Moss says that they have to leave in the morning.
Later that night, Laurie and Martin dream of eloping.  However, Martin changes his mind, with the counsel of Top in the background advising that such a situation would cause great trouble for them all.  During the night, while Laurie is packing, Top and Martin secretly leave.  Laurie is left alone, but then suddenly resolves to leave home and make her own way in the world.  Ma Moss and Beth try to change Laurie's mind, but she is determined to move on.  Ma Moss accepts this eventually.  The opera ends as Laurie leaves, with Beth dancing by herself as she did at the beginning, now the sole hope for future generations of the family and for the farm.
""The Promise of Living"" is best known, often performed as a separate choral anthem.
An orchestral suite based on the opera was compiled by Copland in 1958.  In 1996, Murry Sidlin created a new suite, which, like his version of the opera, uses reduced scoring (for soprano, tenor and chamber ensemble).
Copland reused the revivalist song ""Zion's Walls"" from his second set of  in .
The first UK production in just under twenty years was staged at  in August 2009, directed by , conducted by Leigh Thompson and produced by Racky Plews for MadCow Theatre Company.
 produced the opera at Cahn Auditorium in  on May 18, 19, 20 and 21, 2017.  The program credited Boosey & Hawkes.  The program stated that Copland had been in residence at Northwestern from February 17 to March 2, 1958 giving ""lectures on music and composing"".  There had been a production conducted by Copland with the Northwestern University Music School on February 28, 1958, also at Cahn Auditorium.
"
